Iter  20/500 | gameLen= 11.8 | pl=2.9318  vl=0.2737 | buf=133112 | lr=2.00e-03 | sims=200 | 228s
Iter  21/500 | gameLen= 13.8 | pl=2.9448  vl=0.2743 | buf=138640 | lr=2.00e-03 | sims=200 | 238s
Iter  22/500 | gameLen= 13.8 | pl=2.9645  vl=0.2744 | buf=144168 | lr=2.00e-03 | sims=200 | 248s
Iter  23/500 | gameLen= 13.5 | pl=2.9783  vl=0.2889 | buf=149568 | lr=2.00e-03 | sims=200 | 259s
Iter  24/500 | gameLen= 14.0 | pl=2.9901  vl=0.2917 | buf=155152 | lr=2.00e-03 | sims=200 | 269s
Iter  25/500 | gameLen= 13.7 | pl=3.0129  vl=0.2923 | buf=160616 | lr=2.00e-03 | sims=200 | 280s
Iter  26/500 | gameLen= 12.9 | pl=3.0325  vl=0.2969 | buf=165784 | lr=2.00e-03 | sims=200 | 290s
Iter  27/500 | gameLen= 12.1 | pl=3.0473  vl=0.2976 | buf=170608 | lr=2.00e-03 | sims=200 | 303s
Iter  28/500 | gameLen= 13.0 | pl=3.0400  vl=0.3032 | buf=175824 | lr=2.00e-03 | sims=200 | 313s
Iter  29/500 | gameLen= 11.6 | pl=3.0518  vl=0.3011 | buf=180480 | lr=2.00e-03 | sims=200 | 323s
Iter  30/500 | gameLen= 13.0 | pl=3.0453  vl=0.3039 | buf=185672 | lr=2.00e-03 | sims=200 | 333s
Iter  31/500 | gameLen= 11.6 | pl=3.0551  vl=0.3044 | buf=190304 | lr=2.00e-03 | sims=200 | 343s
Iter  32/500 | gameLen= 12.5 | pl=3.0685  vl=0.3102 | buf=195288 | lr=2.00e-03 | sims=200 | 353s
Iter  33/500 | gameLen= 13.3 | pl=3.0730  vl=0.3142 | buf=200000 | lr=2.00e-03 | sims=200 | 363s
Iter  34/500 | gameLen= 14.6 | pl=3.1095  vl=0.3234 | buf=200000 | lr=2.00e-03 | sims=200 | 374s
Iter  35/500 | gameLen= 10.7 | pl=3.1147  vl=0.3233 | buf=200000 | lr=2.00e-03 | sims=200 | 383s
Iter  36/500 | gameLen= 13.7 | pl=3.1292  vl=0.3334 | buf=200000 | lr=2.00e-03 | sims=200 | 394s
Iter  37/500 | gameLen= 12.3 | pl=3.1367  vl=0.3315 | buf=200000 | lr=2.00e-03 | sims=200 | 404s
Iter  38/500 | gameLen= 11.5 | pl=3.1303  vl=0.3351 | buf=200000 | lr=2.00e-03 | sims=200 | 413s
Iter  39/500 | gameLen= 11.6 | pl=3.1208  vl=0.3353 | buf=200000 | lr=2.00e-03 | sims=200 | 423s
Iter  40/500 | gameLen= 11.5 | pl=3.1145  vl=0.3393 | buf=200000 | lr=2.00e-03 | sims=200 | 433s
Iter  41/500 | gameLen= 11.5 | pl=3.0953  vl=0.3370 | buf=200000 | lr=2.00e-03 | sims=200 | 442s
Iter  42/500 | gameLen= 10.7 | pl=3.0859  vl=0.3383 | buf=200000 | lr=2.00e-03 | sims=200 | 452s
Iter  43/500 | gameLen= 11.8 | pl=3.0772  vl=0.3414 | buf=200000 | lr=2.00e-03 | sims=200 | 462s
Iter  44/500 | gameLen= 11.3 | pl=3.0601  vl=0.3420 | buf=200000 | lr=2.00e-03 | sims=200 | 472s
Iter  45/500 | gameLen= 11.7 | pl=3.0509  vl=0.3478 | buf=200000 | lr=2.00e-03 | sims=200 | 483s
Iter  46/500 | gameLen= 11.7 | pl=3.0409  vl=0.3513 | buf=200000 | lr=2.00e-03 | sims=200 | 493s
Iter  47/500 | gameLen= 11.8 | pl=3.0262  vl=0.3480 | buf=200000 | lr=2.00e-03 | sims=200 | 503s
Iter  48/500 | gameLen= 11.1 | pl=3.0057  vl=0.3446 | buf=200000 | lr=2.00e-03 | sims=200 | 513s
Iter  49/500 | gameLen= 11.0 | pl=2.9992  vl=0.3456 | buf=200000 | lr=2.00e-03 | sims=200 | 522s
Iter  50/500 | gameLen= 10.5 | pl=2.9891  vl=0.3435 | buf=200000 | lr=2.00e-03 | sims=200 | 532s
  [eval]  vs random=1.00   vs heuristic=0.00
  [ckpt]  saved checkpoint_0050.pt
Iter  51/500 | gameLen= 12.1 | pl=2.9792  vl=0.3515 | buf=200000 | lr=2.00e-03 | sims=200 | 542s
Iter  52/500 | gameLen= 11.8 | pl=2.9604  vl=0.3502 | buf=200000 | lr=2.00e-03 | sims=200 | 552s
Iter  53/500 | gameLen= 11.3 | pl=2.9521  vl=0.3536 | buf=200000 | lr=2.00e-03 | sims=200 | 562s
Iter  54/500 | gameLen=  9.3 | pl=2.9364  vl=0.3484 | buf=200000 | lr=2.00e-03 | sims=200 | 572s
Iter  55/500 | gameLen= 11.6 | pl=2.9278  vl=0.3564 | buf=200000 | lr=2.00e-03 | sims=200 | 582s
Iter  56/500 | gameLen= 11.8 | pl=2.9259  vl=0.3539 | buf=200000 | lr=2.00e-03 | sims=200 | 592s
Iter  57/500 | gameLen= 11.0 | pl=2.9159  vl=0.3520 | buf=200000 | lr=2.00e-03 | sims=200 | 601s
Iter  58/500 | gameLen= 10.0 | pl=2.9036  vl=0.3557 | buf=200000 | lr=2.00e-03 | sims=200 | 610s
Iter  59/500 | gameLen= 11.1 | pl=2.8927  vl=0.3575 | buf=200000 | lr=2.00e-03 | sims=200 | 620s
Iter  60/500 | gameLen= 10.0 | pl=2.8764  vl=0.3521 | buf=200000 | lr=2.00e-03 | sims=200 | 629s
Iter  61/500 | gameLen=  9.9 | pl=2.8699  vl=0.3497 | buf=200000 | lr=2.00e-03 | sims=200 | 638s
Iter  62/500 | gameLen= 11.0 | pl=2.8540  vl=0.3532 | buf=200000 | lr=2.00e-03 | sims=200 | 648s
Iter  63/500 | gameLen= 10.7 | pl=2.8413  vl=0.3476 | buf=200000 | lr=2.00e-03 | sims=200 | 658s
Iter  64/500 | gameLen= 12.8 | pl=2.8313  vl=0.3569 | buf=200000 | lr=2.00e-03 | sims=200 | 669s
Iter  65/500 | gameLen= 12.8 | pl=2.8106  vl=0.3570 | buf=200000 | lr=2.00e-03 | sims=200 | 680s
Iter  66/500 | gameLen= 11.5 | pl=2.8057  vl=0.3553 | buf=200000 | lr=2.00e-03 | sims=200 | 690s
Iter  67/500 | gameLen= 12.1 | pl=2.7926  vl=0.3626 | buf=200000 | lr=2.00e-03 | sims=200 | 700s
Iter  68/500 | gameLen=  9.9 | pl=2.7745  vl=0.3610 | buf=200000 | lr=2.00e-03 | sims=200 | 709s
Iter  69/500 | gameLen= 11.5 | pl=2.7602  vl=0.3635 | buf=200000 | lr=2.00e-03 | sims=200 | 718s
Iter  70/500 | gameLen= 10.7 | pl=2.7431  vl=0.3619 | buf=200000 | lr=2.00e-03 | sims=200 | 728s
Iter  71/500 | gameLen= 11.2 | pl=2.7440  vl=0.3659 | buf=200000 | lr=2.00e-03 | sims=200 | 737s
Iter  72/500 | gameLen= 10.5 | pl=2.7348  vl=0.3643 | buf=200000 | lr=2.00e-03 | sims=200 | 746s
Iter  73/500 | gameLen= 10.6 | pl=2.7153  vl=0.3612 | buf=200000 | lr=2.00e-03 | sims=200 | 757s
Iter  74/500 | gameLen=  9.6 | pl=2.7114  vl=0.3619 | buf=200000 | lr=2.00e-03 | sims=200 | 766s
Iter  75/500 | gameLen= 11.1 | pl=2.6908  vl=0.3619 | buf=200000 | lr=2.00e-03 | sims=200 | 775s
Iter  76/500 | gameLen= 11.5 | pl=2.6872  vl=0.3617 | buf=200000 | lr=2.00e-03 | sims=200 | 785s
Iter  77/500 | gameLen=  9.3 | pl=2.6726  vl=0.3589 | buf=200000 | lr=2.00e-03 | sims=200 | 794s
Iter  78/500 | gameLen= 11.4 | pl=2.6633  vl=0.3596 | buf=200000 | lr=2.00e-03 | sims=200 | 804s
Iter  79/500 | gameLen=  9.7 | pl=2.6518  vl=0.3561 | buf=200000 | lr=2.00e-03 | sims=200 | 816s
Iter  80/500 | gameLen= 10.0 | pl=2.6423  vl=0.3581 | buf=200000 | lr=2.00e-03 | sims=200 | 825s
Iter  81/500 | gameLen=  9.1 | pl=2.6312  vl=0.3533 | buf=200000 | lr=2.00e-03 | sims=200 | 834s
Iter  82/500 | gameLen=  9.8 | pl=2.6166  vl=0.3511 | buf=200000 | lr=2.00e-03 | sims=200 | 843s
Iter  83/500 | gameLen=  9.8 | pl=2.6059  vl=0.3516 | buf=200000 | lr=2.00e-03 | sims=200 | 853s
Iter  84/500 | gameLen= 10.9 | pl=2.6033  vl=0.3500 | buf=200000 | lr=2.00e-03 | sims=200 | 863s
Iter  85/500 | gameLen= 10.5 | pl=2.5988  vl=0.3494 | buf=200000 | lr=2.00e-03 | sims=200 | 872s
Iter  86/500 | gameLen=  8.6 | pl=2.5852  vl=0.3451 | buf=200000 | lr=2.00e-03 | sims=200 | 881s
Iter  87/500 | gameLen= 10.2 | pl=2.5641  vl=0.3474 | buf=200000 | lr=2.00e-03 | sims=200 | 891s
Iter  88/500 | gameLen=  9.7 | pl=2.5555  vl=0.3460 | buf=200000 | lr=2.00e-03 | sims=200 | 901s
Iter  89/500 | gameLen=  9.3 | pl=2.5448  vl=0.3453 | buf=200000 | lr=2.00e-03 | sims=200 | 910s
Iter  90/500 | gameLen=  9.8 | pl=2.5506  vl=0.3476 | buf=200000 | lr=2.00e-03 | sims=200 | 920s
